2022-03-11 00:56:57,205; INFO; Updated module list: IP: 10.19.0.110, IP: 10.19.1.101, IP: 10.19.1.103, IP: 10.19.1.105, IP: 10.19.18.103, IP: 10.19.202.103, IP: 10.19.205.103, IP: 10.19.208.103, IP: 10.19.211.103, IP: 10.19.212.103, IP: 10.19.217.103, IP: 10.19.221.104, IP: 10.19.226.101, IP: 10.19.226.108, IP: 10.19.226.110, 
2022-03-11 00:56:57,206; INFO; Updated module list: IP: 10.19.0.110, IP: 10.19.1.101, IP: 10.19.1.103, IP: 10.19.1.105, IP: 10.19.18.103, IP: 10.19.202.103, IP: 10.19.205.103, IP: 10.19.208.103, IP: 10.19.211.103, IP: 10.19.212.103, IP: 10.19.217.103, IP: 10.19.221.104, IP: 10.19.226.101, IP: 10.19.226.108, IP: 10.19.226.110, 
2022-03-11 00:56:57,217; INFO; IO parameters identified for IP: 10.19.217.103, nu_IO: 1
2022-03-11 00:56:57,227; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 1/2.
2022-03-11 00:56:59,261; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 2/2.
2022-03-11 00:57:01,274; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 1/2.
2022-03-11 00:57:03,295; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 2/2.
2022-03-11 00:57:05,316; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 1/2.
2022-03-11 00:57:07,330; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 2/2.
2022-03-11 00:57:22,317; ERROR; Error in SocketController.communicate. Error message: [WinError 10054] An existing connection was forcibly closed by the remote host
2022-03-11 00:58:17,926; INFO; Client connected, address: 10.19.217.103:5005
