2022-02-22 02:27:38,332; INFO; Request number 16832764. Response: ENTRADA / SAÍDA.
2022-02-22 02:27:38,405; INFO; Registered access.
2022-02-22 02:27:38,406; INFO; Getting person and access info for access_request_number: 16832764
2022-02-22 02:27:38,560; INFO; Getting photo for person_number: 25565
2022-02-22 02:27:38,672; INFO; Sending data to dashboard.
2022-02-22 02:27:40,674; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 16832764.
2022-02-22 02:36:13,862; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-22 01-00-00 - 2022-02-22 02-00-00.xlsx already exists.
2022-02-22 02:46:13,872; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-22 01-00-00 - 2022-02-22 02-00-00.xlsx already exists.
2022-02-22 02:56:13,881; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-22 01-00-00 - 2022-02-22 02-00-00.xlsx already exists.
2022-02-22 03:06:13,899; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-22 02-00-00 - 2022-02-22 03-00-00.xlsx does not exist. Starting report build.
2022-02-22 03:06:28,152; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:28,521; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:28,522; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:28,747; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 2, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:28,748; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:29,012; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:29,013; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:29,248; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 2, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:29,249; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:29,449; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:29,449; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:29,670; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:29,671; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:29,848; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 1, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:29,857; INFO; Getting person and access info for equipment_number: 9, access_made_type: 2, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:30,060; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 2, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:30,061; INFO; Getting person and access info for equipment_number: 10, access_made_type: 1, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:30,553; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 1, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:30,554; INFO; Getting person and access info for equipment_number: 10, access_made_type: 2, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:30,707; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-02-22 02:00:00, to: 2022-02-22 03:00:00
2022-02-22 03:06:30,708; INFO; Access Report - Temperature: formatting and saving file: Relatório de acesso - Temperatura - 2022-02-22 02-00-00 - 2022-02-22 03-00-00.xlsx.
